,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
0,100033,11.93,29.43,-3.32,-21.53,58.7,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,21.25034673929297
1,100034,4.86,21.37,-10.35,-28.4,49.75,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,22.408789586037077
2,100037,1.63,5.31,-1.89,-7.14,10.45,Aditya Birla Sun Life Income Fund - Quarterly Dividend - Regular Plan,5.266863903778886
3,100038,8.31,11.24,5.4,1.18,15.56,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,4.027978757481829
4,100041,0.0,0.07,-0.07,-0.2,0.17,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,0.11224337567124884
5,100042,5.53,5.66,5.39,5.2,5.88,Aditya Birla Sun Life Liquid Fund-Retail (Growth),0.19574611297307395
6,100043,5.62,5.76,5.48,5.3,5.98,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),0.19800873264198687
7,100044,0.01,0.07,-0.07,-0.19,0.17,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,0.1119645219784862
8,100046,0.01,0.07,-0.07,-0.2,0.17,Aditya Birla Sun Life Liquid Fund - Daily Dividend,0.11160433577708241
9,100047,5.73,5.87,5.6,5.4,6.09,Aditya Birla Sun Life Liquid Fund - Growth,0.20069854765487977
10,100048,0.01,0.65,-0.62,-1.54,1.55,Aditya Birla Sun Life Liquid Fund-Institutional -  Weekly Dividend,0.9406433220975616
11,100051,0.03,0.61,-0.57,-1.46,1.41,Aditya Birla Sun Life Liquid Fund -weekly IDCW,0.861641551784529
12,100057,0.74,4.9,-3.46,-9.8,10.65,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,6.1967728985293435
13,100058,8.12,11.63,4.69,-0.24,16.68,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,4.747514044439035
14,100063,7.65,20.2,-3.35,-18.42,39.59,Aditya Birla Sun Life MNC Fund - Dividend - Regular Plan,16.31190736304587
15,100064,14.67,26.91,3.47,-11.75,47.15,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,15.273789328272022
16,100077,1.35,5.05,-3.21,-10.62,9.28,DSP  Bond Fund - Dividend,6.064884062759823
17,100078,6.97,8.91,4.98,1.73,11.77,DSP Bond Fund - Growth,2.868571562222631
18,100079,0.61,3.21,-2.08,-6.2,6.75,DSP  Bond Fund - Monthly Dividend,3.961323490098001
19,100080,5.3,21.4,-9.33,-27.62,48.75,DSP Equity Fund - Regular Plan - Dividend,21.36983041642596
20,100081,13.55,24.59,3.14,-10.08,42.35,DSP Equity & Bond Fund- Regular Plan - Growth,14.028292040267514
21,100082,2.72,14.55,-8.19,-22.83,32.15,DSP  Equity & Bond Fund- Regular Plan -Dividend,15.780478782125366
22,100084,8.12,11.23,5.09,0.8,16.06,DSP Government Securities Fund - Regular Plan - Growth,4.264578118843492
23,100085,1.52,6.22,-4.09,-13.88,12.31,DSP Government Securities Fund - Regular Plan - Dividend,7.881923674443797
24,100086,0.54,4.35,-3.37,-8.92,9.98,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,5.701587979711161
25,100087,6.52,7.02,6.08,5.41,8.17,DSP Savings Fund - Regular Plan - Growth,0.7818874734630369
26,100088,1.13,3.47,-1.59,-6.1,6.22,DSP Savings Fund - Regular Plan - IDCW,3.7435537493036657
27,100089,0.59,1.88,-0.76,-2.85,3.65,DSP  Savings Fund - Regular Plan - Monthly Dividend,1.9573570747230362
28,100119,14.68,29.58,0.98,-15.95,55.24,HDFC Balanced Advantage Fund - Growth Plan,18.355524443021626
29,100120,2.92,17.81,-10.5,-27.43,42.1,HDFC Balanced Advantage Fund - IDCW Plan,20.15058195000217
30,100123,0.8,4.15,-2.55,-7.63,8.85,HDFC Income Fund- Quarterly Dividend Option,4.975084959480926
31,100124,7.2,9.72,4.69,1.02,13.51,HDFC Income Fund - Growth Option,3.583191602597665
32,100174,7.33,24.25,-7.16,-25.35,51.02,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,21.22960474586823
33,100175,13.27,29.38,-1.38,-18.89,56.39,quant Tax Plan - Growth Option - Regular Plan,19.862495978656636
34,100176,13.91,24.2,4.47,-8.5,40.61,quant Small Cap Fund - Payout of Income Distribution cum capital withdrawal - Regular Plan,12.870178283309556
35,100177,14.46,25.4,3.9,-9.53,42.57,quant Small Cap Fund - Growth - Regular Plan,13.713608740296685
36,100218,5.77,21.03,-8.44,-25.51,46.56,JM Large Cap Fund (Regular) - IDCW ,20.369219544960256
37,100219,8.03,23.59,-5.51,-22.22,48.42,JM Large Cap Fund (Regular) - Growth Option,19.667652978371372
38,100220,8.99,22.92,-3.52,-18.89,45.41,JM Aggressive Hybrid Fund (Regular) - IDCW,17.775660441195395
39,100221,10.19,23.45,-1.68,-17.1,46.87,JM Aggressive Hybrid Fund (Regular) -Growth Option,17.17153504472556
40,100222,4.47,6.47,2.06,-3.52,9.32,JM Income Fund (Regular) - Quarterly IDCW ,3.741441173257021
41,100223,4.78,6.82,2.66,-3.22,9.54,JM Medium to Long Duration Fund (Regular) - Growth Option,3.5681972478513697
42,100233,0.3,0.84,-0.25,-1.09,1.61,JM Liquid Fund - Weekly Dividend Option,0.8087544170428654
43,100234,5.8,5.93,5.67,5.48,6.13,JM Liquid Fund-Growth,0.18675122903208033
44,100244,5.78,5.92,5.64,5.31,6.13,JM Liquid Fund-- Quarterly Dividend,0.40288011001773294
45,100247,5.82,5.95,5.69,5.5,6.15,JM Liquid Fund-Super Institutional Plan- Growth,0.18735019974465114
46,100254,9.17,27.93,-6.86,-26.47,59.37,JM Value Fund - Growth Option,23.440268969788033
47,100264,3.35,7.72,-1.32,-7.66,13.83,Kotak Gilt-Investment Regular-Dividend,6.388936932217077
48,100265,8.28,11.77,4.76,-0.25,17.26,Kotak Gilt-Investment Regular-Growth,4.8882220571826025
49,100280,0.92,5.45,-3.82,-10.87,11.81,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,6.763721101959414
50,100281,8.34,11.97,4.78,-0.33,17.33,Kotak Gilt-Investment  Provident Fund and Trust-Growth,4.888237469386903
51,100286,5.6,17.02,-5.46,-19.68,35.62,Kotak Equity Hybrid - Dividend,15.65709828408621
52,100299,8.0,10.72,5.37,1.64,14.73,Kotak Bond Regular Plan Growth,3.6707579745165586
53,100300,7.72,10.5,4.87,0.19,14.58,Kotak Bond Regular Plan Annual Payout of Income Distribution cum capital withdrawal option,4.038422190956444
54,100312,6.88,24.14,-8.54,-26.51,55.38,LIC MF Multicap Fund-Regular Plan-Dividend,22.451837908128034
55,100313,8.91,26.72,-5.67,-24.42,56.96,LIC MF Multicap Fund-Regular Plan-Growth,21.87447287741832
56,100314,2.54,5.79,-0.94,-6.84,10.29,LIC MF Bond Fund-Regular Plan-Dividend,5.062003725588022
57,100315,7.43,9.79,5.13,1.37,13.78,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,3.4958632181843154
58,100316,3.46,7.1,-0.61,-9.54,12.51,LIC MF Government Securities Fund-Regular Plan-IDCW,6.463923800281084
59,100317,6.64,9.77,3.58,-1.2,14.36,LIC MF Gilt Fund-Regular Plan-Growth,4.409002766002552
60,100318,4.78,8.42,0.44,-6.67,13.38,LIC MF Government Securities Fund-PF Plan-Dividend,5.819448389742253
61,100319,6.85,9.9,3.63,-0.94,14.58,LIC MF Government Securities Fund-PF Plan-Growth,4.4051373395592455
62,100321,0.74,12.67,-10.0,-24.68,31.6,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,16.614718086049763
63,100323,8.86,21.2,-2.17,-15.94,40.0,LIC MF Equity Hybrid Fund-Regular Plan-Growth,15.539607783204502
64,100325,6.75,19.19,-4.39,-18.87,39.34,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,16.12454795827658
65,100332,5.28,21.31,-8.33,-25.44,47.05,LIC MF Large Cap Fund-Regular Plan-Dividend,20.660811116368553
66,100348,3.37,19.66,-11.18,-29.17,46.66,ICICI Prudential Large & Mid Cap Fund - Dividend,21.85573161610522
67,100349,14.27,30.7,0.22,-17.44,58.21,ICICI Prudential Large & Mid Cap Fund - Growth,19.75515704527007
68,100351,5.92,19.81,-6.14,-22.56,41.91,ICICI Prudential FMCG Fund - Dividend,17.768316289628284
69,100352,14.91,27.7,3.22,-11.89,49.28,ICICI Prudential FMCG Fund - Growth,16.034084876138095
70,100353,1.38,16.45,-12.16,-29.31,41.48,ICICI Prudential Long Term Equity Fund (Tax Saving)- Dividend,20.695330054034905
71,100354,13.62,28.59,0.24,-16.44,53.89,ICICI Prudential ELSS Tax Saver Fund - Growth,18.371988984876445
72,100355,5.54,16.98,-5.54,-19.38,35.35,ICICI Prudential Equity & Debt Fund - Monthly Dividend,15.580243573623461
73,100356,14.35,26.52,3.67,-10.43,45.55,ICICI Prudential Equity & Debt Fund - Growth,14.693420451048427
74,100363,17.23,34.65,2.25,-16.61,63.23,ICICI Prudential Technology Fund - Growth,20.42152222858559
75,100365,8.26,11.52,5.22,0.62,16.34,ICICI Prudential Long Term Bond Fund - Growth,4.458818918410166
76,100367,1.16,5.3,-3.18,-9.76,11.21,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,6.2832932151132574
77,100368,3.73,8.61,-1.54,-10.27,15.27,ICICI Prudential Gilt Fund - IDCW,7.478685141595075
78,100369,9.06,12.75,5.36,-0.2,18.37,ICICI Prudential Gilt Fund - Growth,5.124634038726262
79,100375,7.76,24.19,-7.48,-26.48,51.37,NIPPON INDIA GROWTH FUND - IDCW Option,21.64930192428897
80,100376,17.34,33.83,2.59,-15.34,60.4,Reliance Growth Fund-Growth Plan-Bonus Option,19.62843692213312
81,100377,17.32,33.74,2.81,-16.15,61.53,Nippon India Growth Fund-Growth Plan-Growth Option,19.62871381403349
82,100378,2.42,18.81,-12.37,-30.75,47.08,Nippon India Vision Fund-DIVIDEND PLAN-D,22.680845815011118
83,100379,13.1,29.91,-1.45,-19.94,57.62,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,20.455436572274706
84,100380,12.98,29.41,-1.78,-19.39,58.14,Nippon India Vision Fund-GROWTH PLAN-Growth Option,20.453548447933027
85,100383,0.3,3.58,-3.16,-8.9,8.32,Reliance Income Fund - Monthly Dividend Plan,5.200543817905591
86,100384,1.3,5.32,-3.01,-9.6,10.42,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,6.0591788885746185
87,100385,1.48,5.88,-3.57,-11.11,11.33,NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,6.812565954559579
88,100386,2.73,7.57,-4.24,-14.73,12.79,Nippon India Income Fund - Annual Dividend Plan,8.392130483351522
89,100387,7.91,10.62,5.34,1.5,14.61,Nippon India Income Fund - Growth Plan Growth Option,3.676131630723033
90,100388,7.77,10.51,5.08,1.19,14.62,Nippon India Income Fund - Growth Plan Bonus Option,3.7219722440359058
91,100414,13.51,24.82,2.63,-11.59,44.37,Tata Hybrid Equity Fund- Regular Plan - Growth Option,14.921862033314312
92,100415,13.07,28.31,-0.1,-16.94,52.34,Tata Ethical Fund Regular Plan  - Growth,18.07999539217662
93,100470,1.95,18.66,-11.94,-29.55,45.91,Franklin India Bluechip Fund-Dividend,21.871940849581502
94,100471,12.75,28.59,-1.01,-17.93,55.4,Franklin India Bluechip Fund-Growth,19.336598422617026
95,100472,2.97,19.3,-11.44,-30.53,45.56,Franklin India Prima Fund-Dividend,21.922160973977793
96,100473,15.52,31.31,1.63,-15.44,56.42,Franklin India Prima Fund-Growth,18.68675904956782
97,100474,5.33,21.66,-8.84,-26.45,48.78,TATA India Tax Savings Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,21.191089809800776
98,100475,12.84,28.53,-1.19,-18.63,55.57,Tata Large Cap Fund -Regular Plan - Growth Option,19.573100386050807
99,100476,10.78,28.84,-4.91,-24.27,59.9,Taurus Flexi Cap Fund - Regular Plan - Growth ,22.31464376621472
100,100477,11.8,30.51,-3.91,-23.18,62.59,Taurus Mid Cap Fund - Regular Plan - Growth,22.423063852227013
101,100480,13.45,29.93,-1.8,-19.76,58.66,Taurus Taxshield - Regular Plan - Growth,20.533903530231317
102,100484,11.18,28.21,-3.43,-21.74,56.94,Franklin India Index Fund- Nifty Plan - Dividend Plan,21.211643275434888
103,100493,7.37,10.56,4.29,-0.25,15.31,Franklin India Government Securities Fund - Growth,4.35703959818012
104,100494,0.17,4.1,-3.87,-10.05,9.87,Franklin India Government Securities Fund - IDCW ,6.00482184517599
105,100496,14.89,31.42,0.19,-17.85,57.98,Templeton India Value Fund - Growth Plan,19.83180743101325
106,100497,6.0,22.29,-8.18,-25.89,49.87,Templeton India Value Fund - Dividend Plan,21.219447340176487
107,100519,5.86,21.16,-8.03,-25.93,47.14,Franklin India Flexi Cap Fund - IDCW ,20.678757911770834
108,100520,15.84,31.8,1.9,-14.75,57.26,Franklin India Equity Fund - Growth,18.720519736694047
109,100521,5.11,23.14,-10.15,-29.06,53.95,Franklin India Technology Fund-Dividend,23.36973967248915
110,100522,15.45,33.46,-0.57,-20.02,63.96,Franklin India Technology Fund-Growth,21.707078104920566
111,100524,4.94,22.44,-10.58,-29.3,51.1,Franklin INDIA OPPORTUNITIES FUND - IDCW ,22.94224184679865
112,100525,3.98,19.93,-9.83,-28.74,46.26,Franklin India TAXSHIELD - IDCW ,21.26187213368606
113,100526,14.69,30.61,0.85,-15.93,55.43,Franklin India ELSS Tax Saver Fund-Growth,18.924741601516338
114,100527,4.34,7.9,-0.81,-8.76,11.26,Franklin India Corporate Debt Fund - Annual Dividend,6.061369203076187
115,100528,7.9,9.5,6.27,3.85,12.07,Franklin India Corporate Debt Fund - Growth,2.312409687371981
116,100529,0.43,2.71,-1.82,-5.32,5.78,Franklin India Corporate Debt Fund - Monthly Dividend,3.358520660788481
117,100530,-0.61,2.59,-3.91,-8.75,6.79,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,4.724766695231619
118,100531,0.01,3.97,-4.38,-10.99,8.91,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,6.146366961702742
119,100535,1.34,9.05,-6.52,-18.36,19.51,Franklin India Pension Plan - IDCW ,11.44098728396902
120,100536,9.66,15.38,4.24,-3.27,24.09,Franklin India Pension Plan-Growth,7.67075774437225
121,100537,0.01,0.45,-0.44,-1.1,1.07,Franklin India Liquid Fund - Regular Plan - Weekly Dividend,0.6517849150060575
122,100538,5.37,5.51,5.23,5.05,5.74,Franklin India Liquid Fund - Regular Plan - Growth,0.2020144295238987
123,100541,0.0,0.02,-0.02,-0.12,0.07,Franklin India Liquid Fund - Regular Plan - Daily Dividend,0.05287565055382524
124,100546,5.89,6.04,5.74,5.55,6.27,Franklin India Liquid Fund - Super Institutional Plan - Growth,0.20930107260477102
125,100547,0.0,0.03,-0.02,-0.11,0.08,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,0.05647451522313399
126,100548,0.09,0.56,-0.38,-1.06,1.19,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,0.699192741402111
127,100549,2.63,14.74,-9.09,-24.37,33.68,Franklin India Equity Hybrid Fund - IDCW ,16.969189293373006
128,100550,12.81,23.84,2.98,-10.35,41.63,Franklin India Equity Hybrid Fund - Growth Plan,13.877775045542021
129,100593,7.12,23.3,-7.07,-24.56,49.92,CANARA ROBECO EQUITY TAX SAVER FUND - REGULAR PLAN -IDCW (Payout),20.666258653921354
130,100596,2.7,6.66,-1.42,-7.78,12.11,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),5.909205486023611
131,100597,8.1,10.95,5.44,1.55,15.07,Canara Robeco Gilt Fund - Regular Plan - Growth,3.81327602178071
132,100600,0.64,5.1,-3.52,-9.37,11.61,Canara Robeco Conservative Hybrid Fund - Regular Plan - Monthly Dividend,6.3464973073059
133,100601,9.5,13.56,5.74,0.31,20.21,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,5.4882694521631
134,100602,2.47,5.12,-0.68,-10.24,8.72,Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),5.412445834748514
135,100603,6.46,8.55,4.37,1.54,11.59,Sundaram Medium Term Bond Fund - Regular Growth,2.8908750892350668
136,100604,6.41,8.39,4.42,1.43,11.55,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Bonus,2.89170339921698
137,100608,6.96,9.5,4.65,1.48,15.27,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,3.8365938216863387
138,100609,2.64,5.55,-0.74,-11.05,9.28,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),5.822517242150348
139,100610,2.7,5.96,-1.37,-11.4,9.78,Sundaram Medium Term Bond Fund Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),6.356050211645859
140,100614,-0.17,15.82,-14.28,-31.73,42.51,Sundaram Diversified Equity (ELSS) Regular Plan - Growth,21.75623848088704
141,100630,10.24,27.34,-4.23,-22.59,55.36,quant Active Fund-Payout of Income Distribution cum capital withdrawal Option - Regular Plan,20.993001268467673
142,100631,14.98,31.17,-0.01,-17.91,58.84,Quant Growth Plan-GROWTH OPTION,19.919676826422492
143,100638,3.54,6.72,0.13,-5.25,10.91,SBI Magnum Income Fund - Regular Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),4.740322094710178
144,100639,7.4,9.59,5.22,1.93,13.01,SBI Magnum Income Fund-REGULAR PLAN-Growth,3.1090903640100827
145,100640,7.48,9.67,5.23,1.9,12.92,SBI Magnum Income Fund-REGULAR PLAN-Bonus,3.108323914166017
146,100641,5.54,5.71,5.38,5.13,6.06,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,0.2949946424851241
147,100643,11.44,29.34,-4.4,-23.68,58.07,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - DIVIDEND,22.061711931992473
148,100644,13.02,28.6,-0.89,-18.37,54.85,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),19.232410972928374
149,100645,15.12,29.92,2.08,-15.59,52.23,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),17.809453564301926
150,100646,6.0,12.34,-0.65,-10.52,21.5,UTI - Unit Linked Insurance Plan,9.21861285672328
151,100650,4.26,19.55,-9.78,-27.21,44.19,UTI Large Cap Fund - Regular Plan - IDCW,20.582463550713022
152,100651,12.36,27.5,-0.96,-17.35,52.99,UTI - Master Share-Growth Option,18.628527696607566
153,100663,8.64,24.62,-5.18,-22.04,50.01,UTI - Core Equity Fund - Regular Plan - Income Option,19.793263118858523
154,100664,12.49,28.23,-1.72,-18.92,54.02,UTI - Core Equity Fund - Regular Plan - Growth Option,19.24012592540876
155,100668,11.21,24.99,-1.53,-17.26,48.16,UTI - Flexi Cap Fund-Income Option,17.709116714689234
156,100669,13.87,27.94,0.85,-15.17,51.46,UTI - Equity Fund-Growth Option,17.524559157234954
157,100678,6.56,12.83,-0.02,-10.1,21.48,UTI Children's Hybrid Fund - Regular Plan,9.249386993423938
158,100682,6.33,12.92,-0.91,-12.44,22.22,UTI - Retirement Benefit Pension Fund - Regular Plan,9.7950455195733
159,100684,12.19,23.33,1.6,-11.59,41.57,UTI Aggressive Hybrid Fund - Regular Plan - Growth,14.324757227666213
160,100685,4.3,15.65,-5.94,-19.37,33.35,UTI - Hybrid Equity Fund - Regular Plan -Income,15.28962126691978
161,100723,5.34,5.5,5.19,4.95,5.81,UTI MMF-Discontinued - Regular Plan -Growth,0.2614950222116461
162,100724,3.29,3.81,2.66,1.52,4.41,UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,0.8828915522643387
163,100725,1.55,2.38,0.67,-0.84,3.36,UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option,1.2600302827605592
164,100739,10.87,23.12,0.19,-15.22,42.6,UTI MNC Fund - Regular Plan - IDCW,15.465265482587318
165,100740,13.99,26.07,2.66,-11.85,45.87,UTI - MNC Fund - Regular Plan - Growth Option,14.939308479915208
166,100741,7.01,9.96,4.01,-0.65,15.35,UTI Bond Fund- Regular Plan - Growth,4.491161281096464
167,100742,2.96,6.24,-0.35,-5.31,11.45,UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW,5.059347990408824
168,100780,0.74,2.12,-0.68,-2.85,4.05,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),2.06745687695471
169,100781,7.11,7.74,6.49,5.56,8.78,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,0.9245195521955901
170,100782,0.17,0.67,-0.37,-1.29,1.58,Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),0.8867565458282971
171,100783,1.65,2.5,0.81,-0.39,3.79,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),1.2448902906406134
172,100784,7.74,8.39,7.09,6.11,9.55,Sundaram Banking and PSU Debt Fund Regular Plan - Growth,0.9712588053987721
173,100785,2.75,4.81,0.63,-2.6,7.91,Sundaram Corporate Bond Fund Regular - Monthly Dividend,3.0964323385338335
174,100786,4.95,6.97,2.73,-0.65,9.94,Sundaram Corporate Bond Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),3.089855613915124
175,100787,3.58,6.0,0.57,-9.44,9.23,Sundaram Corporate Bond Fund Regular - Half  Yearly Dividend,5.386475999516108
176,100788,4.74,7.41,1.31,-4.15,10.52,Sundaram Corporate Bond Fund Regular - Annual  Dividend,4.416306594566052
177,100789,7.43,9.14,5.7,2.95,11.81,Sundaram Corporate Bond Fund Regular Plan- Growth,2.5315072161085217
178,100793,0.87,2.37,-0.66,-3.04,4.47,SUNDARAM BANKING AND PSU DEBT FUND REGULAR MONTHLY DIVIDEND RE INVESTMENT,2.232389989436953
179,100794,6.32,23.68,-8.97,-28.35,54.67,Sundaram Small Cap Fund-Dividend,23.228799030146178
180,100795,15.92,34.16,-0.17,-19.14,65.11,Sundaram Small Cap Fund Regular Plan - Growth,21.644614310779936
181,100806,13.5,26.75,1.48,-14.19,49.85,UTI Healthcare Fund - Regular Plan - IDCW,16.58810054691296
182,100807,14.71,27.95,2.73,-12.6,49.9,UTI Healthcare Fund - Regular Plan - Growth Option,16.447300026916494
183,100813,3.26,5.26,0.88,-3.34,6.83,UTI Overnight Fund - Regular Plan - Periodic IDCW,3.104317705845972
184,100814,5.97,6.57,5.34,4.28,7.48,UTI - Overnight  Fund - Regular Plan - Growth Option,0.9241331303618358
185,100820,4.35,19.34,-9.33,-26.82,44.81,UTI Long Term Equity Fund ( Tax Saving ) - Regular Plan - IDCW,20.377213519931765
186,100821,11.32,26.42,-1.94,-18.48,50.99,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,18.75248719120591
187,100822,11.72,29.33,-3.23,-21.48,59.02,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,21.35584816962127
188,100823,12.03,29.18,-3.15,-22.18,58.71,UTI Nifty Index Fund - Regular Plan - IDCW,21.358075655964534
189,100833,0.0,0.04,-0.03,-0.17,0.13,Kotak Liquid Regular Plan Daily Reinvestment of Income Distribution cum capital withdrawal option,0.08682186786342576
190,100835,5.85,5.99,5.7,5.48,6.23,Kotak Liquid Regular Plan Growth,0.21086793558919564
191,100837,5.23,5.36,5.09,4.9,5.58,Reliance Liquid Fund - Retail Option - Growth Plan,0.19538583425647196
192,100838,0.02,0.55,-0.52,-1.32,1.29,Reliance Liquid Fund - Retail Plan - Weekly Dividend Reinvestment Option,0.7908547435930683
193,100842,0.01,0.06,-0.05,-0.18,0.15,NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,0.10032006932568835
194,100843,0.96,2.02,-0.2,-3.26,3.38,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,3.605082810649674
195,100844,0.64,2.44,-1.55,-7.06,4.7,Nippon India Liquid Fund - Retail Plan Quarterly Dividend Plan,4.727054422101783
196,100851,5.74,5.88,5.6,5.39,6.1,Reliance Liquid Fund -Growth Plan,0.20357813943973202
197,100852,0.01,0.07,-0.05,-0.18,0.16,NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,0.10348958092886291
198,100853,0.01,0.59,-0.58,-1.47,1.39,Reliance Liquid Fund -Weekly Dividend Reinvestment Option,0.8606830424016895
199,100855,0.23,1.76,-2.92,-18.42,3.97,Reliance Liquid Fund -Monthly Dividend Plan,9.283497272727395
200,100856,7.85,8.42,7.24,6.32,9.4,Nippon India Prime Debt Fund - Growth Plan - Growth Option,0.8851536125505997
201,100857,0.86,2.36,-0.7,-3.03,4.47,Reliance Prime Debt Fund - Monthly Dividend Plan,2.260070332907382
202,100858,1.26,3.78,-1.51,-5.78,6.78,Nippon India Prime Debt Fund - Quarterly Dividend Plan,3.7530382085034724
203,100859,7.83,8.44,7.24,6.27,9.42,Nippon India Prime Debt Fund - Growth Plan - Bonus Option,0.8851039586699159
204,100864,4.84,21.28,-9.36,-27.81,49.87,LIC MF ELSS Tax Saver-Regular Plan-IDCW,21.70340880996193
205,100865,10.88,27.72,-3.87,-21.59,54.9,LIC MF Tax Plan-Regular Plan-Growth,20.816159443083382
206,100868,5.73,5.88,5.6,5.4,6.1,HDFC Liquid Fund - Growth Plan,0.1983645089914004
207,100874,0.01,0.6,-0.58,-1.44,1.4,HDFC Liquid Fund - IDCW Plan Weekly,0.8574254154655417
208,100875,0.0,0.03,-0.01,-0.11,0.09,HDFC Liquid Fund-Dividend - Daily,0.056670972431246046
209,100876,0.13,1.34,-1.13,-3.12,2.93,HDFC Liquid Fund-Dividend - Monthly,1.8320419116619524
210,100900,15.08,25.74,5.02,-8.04,43.18,HDFC Childrens Fund - Growth Plan,13.402554603592431
211,100915,5.3,22.16,-9.28,-28.81,50.42,SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),21.748925742143914
212,100927,4.01,7.17,0.89,-3.73,11.8,SBI Debt Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),4.558515298021785
213,100928,3.76,7.45,0.19,-4.95,12.56,SBI Debt Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),5.105069564838627
214,100929,5.64,9.67,1.05,-6.24,14.93,SBI Debt Hybrid Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW),6.179120127868944
215,100948,8.59,11.89,5.21,0.55,17.02,Franklin India Debt Hybrid Fund - Growth,4.651078804588875
216,100949,0.46,4.12,-3.15,-8.1,9.6,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,5.231151362301878
217,100950,0.4,4.67,-3.86,-9.93,10.71,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,6.242705728459711
218,100968,8.59,11.72,5.51,1.19,16.6,SBI Conservative Hybrid Fund - Regular Plan - Growth,4.271415211267542
219,100999,3.86,7.29,0.32,-4.79,12.6,SBI MAGNUM GILT FUND - REGULAR PLAN - DIVIDEND,5.044876049141467
